surat_nomor,ayat_nomor,audio_01_juhany,audio_02_qasim,audio_03_sudais,audio_04_dossari,audio_05_afasy,audio_06_yasser
2,6,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002006.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002006.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002006.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002006.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002006.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002006.mp3
2,7,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002007.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002007.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002007.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002007.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002007.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002007.mp3
2,8,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002008.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002008.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002008.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002008.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002008.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002008.mp3
2,9,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002009.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002009.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002009.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002009.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002009.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002009.mp3
2,10,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002010.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002010.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002010.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002010.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002010.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002010.mp3
2,11,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002011.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002011.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002011.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002011.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002011.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002011.mp3
2,12,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002012.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002012.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002012.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002012.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002012.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002012.mp3
2,13,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002013.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002013.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002013.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002013.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002013.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002013.mp3
2,14,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002014.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002014.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002014.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002014.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002014.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002014.mp3
2,15,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002015.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002015.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002015.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002015.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002015.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002015.mp3
